lambda_A, Ft_raw, Fc_anchored, A_t, A_c, pre_extract_ratio_r, epsilon
3.390000000000000000e+03,5.410000000000000000e+06,1.162271362237866560e+04,9.984795806059680867e-01,8.324921734271698570e-01,2.148375900624522120e-03,1.791229542985780555e-03
3.410000000000000000e+03,5.497000000000000000e+06,1.245679291509226823e+04,9.984886779411831226e-01,8.327443765123448971e-01,2.266107497742817726e-03,1.889944590267004934e-03
3.430000000000000000e+03,5.713000000000000000e+06,1.465985017736841110e+04,9.984977134615256045e-01,8.330014611576648242e-01,2.566051142546545063e-03,2.140740356566606020e-03
3.450000000000000000e+03,5.941000000000000000e+06,1.401313652287308287e+04,9.985066876347681308e-01,8.332633537033257154e-01,2.358716802368807097e-03,1.968371666927812031e-03
3.470000000000000000e+03,6.101000000000000000e+06,1.454501317329914673e+04,9.985156009248100650e-01,8.335299812747239967e-01,2.384037563235395264e-03,1.990120919093656387e-03
3.490000000000000000e+03,6.532000000000000000e+06,1.980333914910228850e+04,9.985244537917110641e-01,8.338012717717662170e-01,3.031742062018108995e-03,2.531605888464261503e-03
3.510000000000000000e+03,6.794000000000000000e+06,2.336026424882659558e+04,9.985332466917277161e-01,8.340771538583924283e-01,3.438366830854665442e-03,2.872075846950483246e-03
3.530000000000000000e+03,6.324000000000000000e+06,2.048329509424924618e+04,9.985419800773448484e-01,8.343575569522954094e-01,3.238977718888242426e-03,2.706411538496544377e-03
3.550000000000000000e+03,7.304000000000000000e+06,2.612541842575755800e+04,9.985506543973112770e-01,8.346424112148617125e-01,3.576864516122338356e-03,2.989735985028329178e-03
3.570000000000000000e+03,5.636000000000000000e+06,1.247492507362951983e+04,9.985592700966705593e-01,8.349316475412958960e-01,2.213435960544627486e-03,1.850734141285138900e-03
3.590000000000000000e+03,5.628000000000000000e+06,1.352961229521302448e+04,9.985656936670677108e-01,8.348884062770400849e-01,2.403982284152989587e-03,2.009939807329193164e-03
3.610000000000000000e+03,6.210000000000000000e+06,1.960992945803826296e+04,9.985742078402312094e-01,8.351867006579574149e-01,3.157798624482812105e-03,2.641117098576217185e-03
3.630000000000000000e+03,6.273000000000000000e+06,2.229348892155159047e+04,9.985826645978306271e-01,8.354891815586454884e-01,3.553879949235069259e-03,2.973442615629539720e-03
3.640000000000000000e+03,6.324000000000000000e+06,2.407044045820230895e+04,9.985868715807604268e-01,8.356419711906519776e-01,3.806205006040845780e-03,3.185125645572307006e-03
3.650000000000000000e+03,7.174000000000000000e+06,2.966118934052173790e+04,9.985910643713133972e-01,8.357957826230750786e-01,4.134539913649531474e-03,3.460506654033225927e-03
3.670000000000000000e+03,7.283000000000000000e+06,3.411867831426290650e+04,9.985994075885750165e-01,8.361064381835395798e-01,4.684701127868035921e-03,3.922402461097722684e-03
3.690000000000000000e+03,7.017000000000000000e+06,2.767269595426974774e+04,9.986076946739944615e-01,8.364210832518743644e-01,3.943664807506020754e-03,3.303163402274133294e-03
